source_id,title,institution_or_authors,url,access_date,local_copy,verification_note
law_13811_2019,"Lei nº 13.811, de 12 de março de 2019",Presidência da República — Planalto,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13811.htm,2026-09-01,,"Aberta e conferida: altera o art. 1.520; vigência na publicação no DOU de 13/03/2019; download local bloqueado por timeout do servidor"
civil_code_compiled,"Lei nº 10.406, de 10 de janeiro de 2002 — Código Civil compilado",Presidência da República — Planalto,https://www.planalto.gov.br/ccivil_03/leis/2002/l10406compilada.htm,2026-09-01,,"Aberta e conferidos os arts. 1.517–1.520; download local bloqueado por timeout do servidor"
ibge_registry_page,"Estatísticas do Registro Civil",Instituto Brasileiro de Geografia e Estatística — IBGE,https://www.ibge.gov.br/estatisticas/sociais/populacao/9110-estatisticas-do-registro-civil.html?lang=pt-BR,2026-09-01,,"Aberta e conferida: objetivo, população-alvo, método, abrangência e canais de disseminação"
ibge_registry_notes_2022,"Estatísticas do Registro Civil, volume 49, 2022 — Notas técnicas",Instituto Brasileiro de Geografia e Estatística — IBGE,https://biblioteca.ibge.gov.br/visualizacao/periodicos/135/rc_2022_v49_notas_tecnicas.pdf,2026-09-01,Darcio/references/ibge_registro_civil_2022_notas_tecnicas.pdf,"Aberta, baixada e lida integralmente; SHA-256 2e0ab82a1184028fa36332dd360552486c73b5f89e921208655deeda6fd8817d"
ibge_pnadc_page,"PNAD Contínua — Pesquisa Nacional por Amostra de Domicílios Contínua",Instituto Brasileiro de Geografia e Estatística — IBGE,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/17270-pnad-continua.html,2026-09-01,,"Aberta para documentação e microdados da divulgação trimestral"
ibge_pnadc_docs,"PNAD Contínua trimestral — diretório oficial de documentação",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/Documentacao/,2026-09-01,,"Aberto e conferido; contém dicionário, layout, chaves e disponibilidade de variáveis"
ibge_pnadc_keys,"PNAD Contínua — Chaves",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/Documentacao/Chaves_PNADC.pdf,2026-09-01,Darcio/references/ibge_chaves_pnadc.pdf,"Baixado e lido integralmente; SHA-256 ca3cb410fe88ca462bd0276250e8146a35a36f6280606e5685415a859d9434e1"
ibge_sidra_4406,"Tabela 4406 — Casamentos, por mês do registro, estado civil, grupos de idade e lugar do registro",Instituto Brasileiro de Geografia e Estatística — IBGE,https://sidra.ibge.gov.br/tabela/4406,2026-09-01,Darcio/references/ibge_sidra_4406_metadata.json,"Metadados oficiais abertos e conferidos; dados adquiridos em 72 consultas anuais à API, todas com hash e validação de schema"
ibge_sidra_4406_metadata,"Metadados do agregado SIDRA 4406",Instituto Brasileiro de Geografia e Estatística — IBGE,https://servicodados.ibge.gov.br/api/v3/agregados/4406/metadados,2026-09-01,Darcio/references/ibge_sidra_4406_metadata.json,"Confere variáveis 221, 4373 e 4374, classificações etárias, mês do registro e cobertura 2013–2024"
ibge_pnadc_annual_readme,"PNAD Contínua — Informações sobre os arquivos de microdados anuais",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/LEIA-ME.pdf,2026-09-01,Darcio/references/ibge_pnadc_anual_visita_leia_me.pdf,"Baixado, convertido para texto e conferido; descreve rotação e acumulação anual por visita"
